ingredient_name,allergen_info,health_conditions,Not_Suitable_for_Diets,description
Carrot,0,0,"Ketogenic Diet, Low-carbohydrate Diet","Carrot is a healthy vegetable, rich in beta-carotene and vitamins, beneficial for eye health."
Potato,Latex,Diabetes,"Atkins, Ketogenic Diet, Low-carbohydrate Diet","Potato is a starchy vegetable, high in carbohydrates, commonly used in various cuisines."
Tomato,Latex,GERD,0,"Tomato is a juicy fruit rich in antioxidants, especially lycopene, beneficial for heart health."
Onion,0,GERD,0,"Onion is a pungent vegetable used in cooking, known for its anti-inflammatory and immune-boosting properties."
Garlic,0,GERD,0,"Garlic has medicinal properties, known for boosting immunity and improving heart health."
Ginger,0,0,0,"Ginger is a root with anti-inflammatory properties, helpful for digestion and nausea relief."
Spinach,0,0,0,"Spinach is a nutrient-dense leafy green, high in iron, vitamins, and antioxidants."
Broccoli,0,0,0,"Broccoli is a cruciferous vegetable, rich in fiber, vitamins, and cancer-fighting compounds."
Cauliflower,0,0,0,"Cauliflower is a versatile low-carb vegetable, often used as a rice or flour substitute."
Cabbage,0,0,0,"Cabbage is a leafy vegetable, rich in vitamin C and fiber, beneficial for digestion."
Lettuce,0,0,0,"Lettuce is a hydrating leafy green, commonly used in salads and sandwiches."
Bell Pepper,0,0,0,"Bell pepper is a colorful vegetable, rich in vitamin C and antioxidants, adding sweetness to dishes."
Chili Pepper,0,GERD,0,"Chili pepper is a spicy vegetable, rich in capsaicin, which boosts metabolism and reduces inflammation."
Mushroom,0,Gout,0,"Mushroom is a fungi rich in protein, fiber, and antioxidants, known for its umami flavor."
Pumpkin,0,0,"Ketogenic Diet, Low-carbohydrate Diet","Pumpkin is a nutrient-dense vegetable, high in vitamin A and fiber, often used in soups and desserts."
Zucchini,Latex,0,0,"Zucchini is a low-calorie vegetable, rich in water and fiber, great for digestion."
Eggplant,Latex,0,0,"Eggplant is a versatile vegetable, rich in fiber and antioxidants, commonly used in Mediterranean cuisine."
Cucumber,0,0,0,"Cucumber is a hydrating vegetable, rich in water and vitamins, great for skin and digestion."
Radish,0,0,0,"Radish is a crunchy root vegetable, known for aiding digestion and detoxifying the liver."
Turnip,0,0,"Ketogenic Diet, Low-carbohydrate Diet","Turnip is a root vegetable, rich in fiber, vitamin C, and antioxidants."
Beetroot,0,Chronic Kidney Disease,"Ketogenic Diet, Low-carbohydrate Diet","Beetroot is a vibrant root vegetable, known for improving blood circulation and stamina."
Sweet Corn,Latex,0,"Atkins, Ketogenic Diet, Low-carbohydrate Diet","Sweet corn is a starchy vegetable, rich in fiber and natural sugars, providing energy."
Green Beans,0,Gout,0,"Green beans are rich in fiber, vitamins, and minerals, supporting digestion and heart health."
Peas,0,Gout,"Ketogenic Diet, Low-carbohydrate Diet","Peas are protein-rich legumes, high in fiber and essential nutrients."
Okra,0,0,0,"Okra is a fiber-rich vegetable, known for its benefits in digestive and heart health."
Asparagus,0,0,0,"Asparagus is a low-calorie vegetable, rich in folate and beneficial for kidney health."
Leek,0,0,"Ketogenic Diet, Low-carbohydrate Diet","Leek is an onion-family vegetable, rich in fiber and prebiotics, supporting gut health."
Celery,Latex,Chronic Kidney Disease,0,"Celery is a hydrating vegetable, known for its anti-inflammatory and digestive benefits."
Fennel,0,0,0,Fennel has a licorice-like flavor and aids digestion and bloating relief.
Parsley,0,0,0,"Parsley is a herb rich in vitamins and antioxidants, often used for garnishing."
Cilantro,0,0,0,"Cilantro is a fresh herb with a citrusy taste, used in many cuisines for flavoring."
Basil,0,0,0,"Basil is an aromatic herb, commonly used in Italian dishes and for its anti-inflammatory properties."
Dill,0,0,0,"Dill is a fragrant herb, used for seasoning and known for its digestive benefits."
Chives,0,0,0,"Chives are a mild onion-flavored herb, often used as a garnish."
